Country,AvgMonthlyRevenue,MonthlyGrowthPct,TotalRevenue
Norway,3708.8599999999997,13.974069300719544,33379.74
Switzerland,4703.6625,12.639252863120962,56443.950000000004
Iceland,680.8633333333332,12.53652051002474,4085.1799999999994
Italy,1440.2325,12.155605849332378,17282.79
Belgium,3314.8841666666667,11.40548771192476,39778.61
France,16812.26083333333,10.253172918941694,201747.12999999998
Austria,1057.2755555555555,9.322183431629306,9515.48
EIRE,21547.248333333333,8.850026570897192,258566.98
Channel Islands,1841.0945454545456,8.249149221510525,20252.04
Poland,666.7863636363636,6.816371606007107,7334.65
Germany,18406.914166666666,6.777282086546535,220882.97
Netherlands,22809.86,6.4491322698080635,273718.32
Finland,1937.5745454545454,6.337651759556935,21313.32
Denmark,1878.6440000000002,6.312322111377171,18786.440000000002
Spain,5105.075000000001,6.245025132504745,61260.90000000001
Sweden,3178.360833333334,3.9907264142083285,38140.33000000001
Australia,11543.4425,3.7813031290063783,138521.31
Portugal,2552.641666666667,1.5983031062181088,30631.700000000004
Cyprus,1698.7975000000001,-0.5784203518188885,13590.380000000001
Japan,3741.637,-4.46168510216412,37416.37
