CustomerID,TotalSpent,TotalQuantity,TotalTransactions,AveragePrice,Cluster,CustomerType
12347,4310.0,2458,7,2.644010989010989,3,High Value Customer
12348,1797.24,2341,4,5.764838709677419,2,Regular Customer
12349,1757.55,631,1,8.289041095890411,2,Regular Customer
12350,334.4,197,1,3.841176470588235,1,Low Value Customer
12353,89.0,20,1,6.074999999999999,2,Regular Customer
12354,1079.4,530,1,4.5037931034482765,2,Regular Customer
12355,459.4,240,1,4.203846153846154,1,Low Value Customer
12356,2811.43,1591,3,3.201186440677966,3,High Value Customer
12357,6207.67,2708,1,3.3486259541984733,3,High Value Customer
12358,1168.06,248,2,8.27421052631579,2,Regular Customer
12359,6372.58,1622,4,8.620403225806452,2,Regular Customer
12360,2662.06,1165,3,3.5496899224806198,3,High Value Customer
12361,189.9,91,1,3.335,1,Low Value Customer
12362,5226.23,2229,10,3.94093984962406,3,High Value Customer
12363,552.0,408,2,2.3117391304347827,1,Low Value Customer
12364,1313.1,1506,4,1.910235294117647,1,Low Value Customer
12367,168.9,173,1,3.2,1,Low Value Customer
12370,3545.69,2353,4,2.800299401197605,3,High Value Customer
12371,1887.96,591,2,3.8742857142857146,1,Low Value Customer
12372,1298.04,794,3,3.001346153846154,1,Low Value Customer
12373,364.6,197,1,4.582142857142857,2,Regular Customer
12374,742.9300000000001,342,1,4.21969696969697,1,Low Value Customer
12375,457.5,178,2,6.912941176470589,2,Regular Customer
12377,1628.12,944,2,2.718831168831169,1,Low Value Customer
12378,4008.62,2529,1,2.9974429223744297,3,High Value Customer
12379,852.24,407,2,2.86625,1,Low Value Customer
12380,2724.81,1127,4,3.378653846153846,3,High Value Customer
12381,1845.31,808,5,4.683218390804598,2,Regular Customer
12383,1850.56,1532,5,3.086969696969697,3,High Value Customer
12384,585.27,126,2,7.87925925925926,2,Regular Customer
12386,401.9,354,2,2.391,1,Low Value Customer
12388,2780.66,1462,6,2.7777,3,High Value Customer
12390,549.84,353,1,3.996875,1,Low Value Customer
12391,460.89,300,1,2.4599,1,Low Value Customer
12393,1582.6000000000001,816,4,2.2796875,1,Low Value Customer
12394,1272.48,819,2,3.3707407407407404,1,Low Value Customer
12395,3018.63,2118,12,3.9688461538461537,3,High Value Customer
12397,2409.9,1263,2,3.4682539682539684,1,Low Value Customer
12398,1635.6599999999999,1394,1,1.992705882352941,1,Low Value Customer
12399,1108.65,1178,4,2.1145762711864404,1,Low Value Customer
12401,84.3,11,1,9.68,2,Regular Customer
12402,225.6,94,1,3.290909090909091,1,Low Value Customer
12403,427.7,96,1,7.080000000000001,2,Regular Customer
12405,1710.39,857,1,3.5442592592592597,1,Low Value Customer
12406,3415.3,1818,2,2.487047619047619,3,High Value Customer
12407,1708.1200000000001,1416,5,3.2674025974025973,3,High Value Customer
12408,2888.55,1409,5,3.0228571428571427,3,High Value Customer
12409,11072.67,5551,3,3.574495412844037,0,Premium Customer
12410,693.3299999999999,211,2,6.335384615384616,2,Regular Customer
12412,1226.88,829,3,2.7137704918032783,1,Low Value Customer
12413,758.1,286,3,4.798421052631579,2,Regular Customer
12414,562.41,300,3,8.57,2,Regular Customer
12417,3649.1,1552,9,5.337916666666666,3,High Value Customer
12418,668.58,407,1,3.5644117647058824,1,Low Value Customer
12420,600.39,345,1,4.707241379310345,2,Regular Customer
12421,807.04,484,4,4.520222222222222,2,Regular Customer
12422,803.5600000000001,370,3,3.26025641025641,1,Low Value Customer
12423,1859.31,1339,8,2.9135999999999997,3,High Value Customer
12424,1760.96,740,2,2.780666666666667,1,Low Value Customer
12425,777.2,496,1,2.5644444444444443,1,Low Value Customer
12426,582.73,258,1,3.9363333333333332,1,Low Value Customer
12427,825.8,533,3,4.589032258064516,2,Regular Customer
12428,7956.46,3536,9,4.627414965986395,0,Premium Customer
12429,3750.4,1557,4,3.6307216494845362,3,High Value Customer
12430,256.4,117,1,6.225454545454546,2,Regular Customer
12431,6487.45,2906,15,3.785063829787234,0,Premium Customer
12432,5059.32,1801,5,10.550833333333333,2,Regular Customer
12434,806.14,394,2,3.6726,1,Low Value Customer
12435,7829.89,2055,2,5.479166666666667,3,High Value Customer
12436,509.01,211,1,5.2675,2,Regular Customer
12437,4951.41,2922,18,4.0125628140703515,0,Premium Customer
12438,2906.85,1180,2,3.894897959183673,1,Low Value Customer
12441,173.55,121,1,3.700909090909091,1,Low Value Customer
12442,172.06,182,1,3.34,1,Low Value Customer
12444,5005.46,1153,5,6.3586931818181816,2,Regular Customer
12445,133.4,62,1,7.9875,2,Regular Customer
12446,1002.3100000000001,351,1,4.352631578947368,2,Regular Customer
12447,476.49,190,1,3.5742307692307693,1,Low Value Customer
12448,449.45,243,1,5.951818181818182,2,Regular Customer
12449,4067.29,1553,4,3.694712041884817,3,High Value Customer
12450,197.88,128,2,1.6175,1,Low Value Customer
12451,9035.52,6575,5,2.450084745762712,0,Premium Customer
12452,430.57,185,2,4.485,2,Regular Customer
12453,707.09,473,1,2.393255813953488,1,Low Value Customer
12454,3528.34,1006,1,7.282,2,Regular Customer
12455,2466.86,2089,6,3.173333333333334,3,High Value Customer
12456,3181.04,1633,3,3.62456,3,High Value Customer
12457,2363.23,843,7,5.357096774193548,2,Regular Customer
12458,947.4,506,2,4.326315789473685,2,Regular Customer
12461,826.88,287,2,4.258857142857143,1,Low Value Customer
12462,1189.59,536,2,4.689516129032258,2,Regular Customer
12463,1344.78,776,4,3.0434939759036146,1,Low Value Customer
12464,1212.05,112,8,11.832758620689654,2,Regular Customer
12465,742.1899999999999,479,2,2.76,1,Low Value Customer
12468,729.5400000000001,366,2,3.5149999999999997,1,Low Value Customer
12471,19824.05,8212,30,4.300369565217392,0,Premium Customer
